"","genotype_in","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"3708",3746,177,"LF960","YPD","MATalpha",10.5878845832696,28,3.43582440986881,27.5197740112994,-669.750111319421,0.00551858462386293,0.0877817862978391,-666.314286909552,30.898858649919,2.87884453280308
"3709",3747,240,"LF960","YPD","MATalpha",10.1365769257313,21,19.3056549909376,22.5541666666667,-904.429368529973,0.0122840637020056,0.0723146543272926,-885.123713539036,25.5216840164406,2.39557835391199
"3710",3748,137,"LF960","YPD","MATalpha",11.3210638971339,26,4.76882077103403,25.9489051094891,-527.643798767839,0.00857825561919367,0.0734948176511106,-522.874977996805,29.2904244182749,2.4854232939067
"3711",3749,140,"LF960","YPD","MATalpha",10.2441395273446,29,-4.85303500944656,28.0071428571429,-519.106595266951,0.00361279183543606,0.104093801903609,-523.959630276398,31.3062492546022,3.08541825302573
"3712",3750,160,"LF960","YPD","MATalpha",8.98426297099965,24,11.7316668972045,24.25,-588.011496703429,0.00736535729351227,0.0922018903021137,-576.279829806225,27.1825934675311,2.92570543053952
"3713",3751,126,"LF960","YPD","MATalpha",10.7560097634646,15,-0.414149470139591,16.3730158730159,-463.143423763237,0.0310554954536131,0.0486311531253773,-463.557573233376,18.1823348199416,1.53300266468526
"3714",3752,126,"LF960","YPD","MATalpha",11.0398556466293,13.5,-3.99142443104228,14.9603174603175,-457.773660772745,0.0390855036830915,0.0406917684297593,-461.765085203787,16.1091982661236,1.27934753538988
"3715",3753,120,"LF1031","YPD","MATa",10.7856600254632,39,6.29755919732332,37.825,-460.80788260685,0.00196113943337444,0.0897333510736634,-454.510323409526,41.7442744570515,3.96566437896231
"3716",3754,139,"KS1","YPD","MATalpha",12.9728428355366,27,4.15624946111063,27.4748201438849,-552.88697969512,0.00994475894067107,0.0594400783221172,-548.73073023401,31.027755629803,2.2593494239194
"3717",3755,120,"KS1","YPD","MATalpha",10.902303613899,29,0.677061524809801,28.2166666666667,-455.8382662932,0.00507839388820209,0.0881091273489796,-455.16120476839,31.6812192675964,2.88187119958113
"3718",3756,80,"KS2","YPD","MATa",11.5094897554314,22.5,2.4466542409267,23.25,-307.165927843604,0.0124543600432066,0.0664948885953873,-304.719273602677,26.3153571356729,2.17015748861076
"3719",3757,239,"LF960","YPD","MATalpha",8.78288247943213,23,28.7102892123596,23.6903765690377,-884.049758196949,0.00928773597179731,0.0835828037164165,-855.33946898459,26.5645418748847,2.84936780678309
"3720",3758,160,"LF960","YPD","MATalpha",9.93640153534961,26,12.2137098824264,26.4,-603.85999414951,0.00693527311874624,0.0832200762873028,-591.646284267084,29.6348569499964,2.87766859530536
"3721",3759,239,"LF960","YPD","MATalpha",10.1345853555933,25,8.22747746990524,25.7489539748954,-900.35135208637,0.00723846639784784,0.0839329461054467,-892.123874616464,28.8795318937809,2.73194452801758
"3722",3760,160,"LF960","YPD","MATalpha",9.81822005093354,27,10.8017771230789,27.10625,-601.067820888018,0.00586148891403389,0.087901429163377,-590.266043764939,30.3686123962751,3.01212948190331
"3723",3761,159,"LF960","YPD","MATalpha",9.16030313748271,25,10.4338794067664,25.1132075471698,-586.947748006477,0.00673333816520673,0.0919511374807743,-576.513868599711,28.1132278230776,2.97439221906879
"3724",3762,119,"LF960","YPD","MATalpha",8.72933292885024,26,11.4531028733616,26.5042016806723,-437.159134922832,0.00540086817114564,0.0961201766323456,-425.70603204947,29.5464586211539,3.28993027551626
"3725",3763,719,"LF960","YPD","MATalpha",10.8689549293425,30,33.9552567733358,30.5688456189152,-2762.7886356213,0.00446213823457852,0.0840589118058695,-2728.83337884797,34.2118084818147,3.08794008154484
"3726",3764,117,"KK39","YPD","MATalpha",10.3403615470194,16,2.93084593351466,18.8717948717949,-434.498792961035,0.0197688271063128,0.0641160036321817,-431.56794702752,21.2814416027917,1.91022639398044
"3727",3765,199,"LF960","YPD","MATalpha",9.91211316068823,23,15.5681921487767,24.9497487437186,-750.06232286345,0.00846815818412326,0.080252705297765,-734.494130714673,28.0723893395886,2.7053686598584
"3728",3766,160,"KK39","YPD","MATalpha",10.444191307874,28,9.98582090198272,29.225,-610.48264625171,0.00503830646266439,0.0846935421723198,-600.496825349727,32.7200421528404,3.0489252335212
"3729",3767,240,"KK39","YPD","MATalpha",13.6255564292097,27,23.5755089408838,30.1333333333333,-979.122264760378,0.0100268310421362,0.0505358817185629,-955.546755819494,34.0808562842724,2.35891457528714
"3730",3768,380,"KS1","YPD","MATalpha",11.7563832392658,30,12.3178638595327,30.6657894736842,-1483.47643691703,0.00521141095108909,0.0767359600466531,-1471.15857305749,34.4276160396947,2.85740607340468
"3731",3769,159,"LF960","YPD","MATalpha",11.5005840912509,29,1.5950513829132,29.5283018867925,-614.064031165511,0.00517908543836942,0.08131483190243,-612.468979782598,33.1415147727465,2.82630185114806
"3732",3770,139,"LF960","YPD","MATalpha",12.098443214909,31,-0.0703641125162449,31.1079136690647,-542.580291439774,0.0045816315583816,0.0797946416295173,-542.65065555229,34.9069941216566,2.8315697673527
"3733",3771,269,"KS1","YPD","MATalpha",13.4207412553927,37,3.83029195242398,36.2267657992565,-1082.33615852733,0.00375092096418939,0.0707266947375135,-1078.5058665749,40.572115011607,2.98532346225813
"3734",3772,160,"KS1289","YPD",NA,10.922826410433,17,16.8069839199164,19.50625,-608.142469155424,0.0245186231843428,0.0465195272264411,-591.335485235508,22.103222717266,1.91728702499982
"3735",3773,299,"KS1","YPD","MATalpha",10.8297919263198,29,11.5792422585362,29.5016722408027,-1145.04880146192,0.0048904612228243,0.0844316212622387,-1133.46955920339,33.0555397575148,2.99142709378623
"3736",3774,118,"KS1","YPD","MATalpha",10.1700626982388,37,-1.70607517898111,35.635593220339,-437.367326422205,0.00123618322838498,0.111944927503689,-439.073401601186,39.2921920511813,4.12407627988077
"3737",3775,160,"KS1","YPD","MATalpha",10.8673823895177,31.5,1.12080475438813,31.025,-608.850190859398,0.00348123647802674,0.0920243091199915,-607.72938610501,34.6447846095091,3.19366993167402
"3738",3776,100,"KS2","YPD","MATa",11.734758005794,31,-0.147011309005677,29.45,-387.02473225284,0.00529517833897852,0.0804995146324309,-387.171743561846,33.0728815418834,2.76547927710574
"3739",3777,120,"KS1","YPD","MATalpha",11.4694790457035,37,-3.94052944901671,35.325,-457.972381263978,0.00189822378892691,0.0976758528781955,-461.912910712995,39.2181947170615,3.57615815123148
"3740",3778,160,"KS1","YPD","MATalpha",12.450556300875,35,-4.91779670282961,33.3,-625.631552704096,0.0034366678974011,0.0829746706273176,-630.549349406925,37.2492282184477,2.98927024294768
"3741",3779,70,"KK39","YPD","MATalpha",11.3413897804991,30.5,3.00873209282975,30.8428571428571,-270.491747393799,0.00437986571962617,0.0832143846374552,-267.483015300969,34.6167563305103,3.03314192434981
"3742",3780,139,"KK39","YPD","MATalpha",11.0794140034379,26,9.5933180120503,27.0143884892086,-537.282078912683,0.00809627525281778,0.0722212332487042,-527.688760900633,30.443909313337,2.63763128057335
"3743",3781,169,"KK39","YPD","MATalpha",12.3478482969913,30,5.07222207965629,29.9704142011834,-665.219704706992,0.00607740461503952,0.0723035152676542,-660.147482627335,33.792577259637,2.66604671661136
"3744",3782,280,"KK39","YPD","MATalpha",12.1093984987714,35,-6.62438378508114,34.3785714285714,-1090.71793151971,0.00295942267873219,0.0851501324180538,-1097.34231530479,38.322542494234,3.17276638164772
"3745",3783,119,"KK39","YPD","MATalpha",11.6226759978417,31,4.35707198583611,32.327731092437,-462.660016749986,0.00388346243499297,0.0823790790349826,-458.30294476415,36.2312814596386,3.10659458408098
"3746",3784,88,"KK39","YPD","MATalpha",11.5306143774122,23.5,7.90331460747791,25.3181818181818,-344.01697104099,0.0121129167250869,0.059411947484029,-336.113656433512,28.5875677407841,2.33167971202944
"3747",3785,90,"KK39","YPD","MATalpha",16.4138883369261,30.5,2.28638575027247,32.3333333333333,-376.688621924395,0.00924613365478978,0.0463336281633736,-374.402236174122,36.5966069793318,2.10830102546076
"3748",3786,320,"KK39","YPD","MATalpha",10.8607313700974,31.5,0.266953491084905,31.025,-1217.79503788769,0.00349254376141539,0.0919107282756825,-1217.52808439661,34.6164977193569,3.17570338364206
"3749",3787,160,"KK39","YPD","MATalpha",11.3174254800664,32,1.4794435117775,31.9375,-616.779003825166,0.00369481521296448,0.0859790630858102,-615.299560313388,35.6545447149006,3.11747935463591
"3750",3788,135,"KK39","YPD","MATalpha",14.1439921946305,27,-6.68753170385446,25.8518518518519,-538.618326805299,0.0118138608583914,0.0560391732080658,-545.305858509154,28.9976080202201,1.85423646600417
"3751",3789,70,"KK39","YPD","MATalpha",11.5478659980851,28.5,3.36748072401002,29.5428571428571,-273.077171648911,0.00624797080514657,0.073601414760964,-269.709690924901,33.1513892707923,2.76709635284077
"3752",3790,220,"KK39","YPD","MATalpha",11.6377843284871,32,1.90952386513288,32.4818181818182,-855.63316974888,0.00398679956362829,0.0811384618416064,-853.723645883748,36.2445932057265,3.05767990493618
"3753",3791,69,"KK39","YPD","MATalpha",8.87033620840427,31,2.65484376314723,30.3913043478261,-250.035111143596,0.00219158613236551,0.115145846888079,-247.380267380449,33.6177428192495,3.90465196409275
"3754",3792,160,"KS1698","YPD","MATalpha",11.8232196128034,34,-0.572341102938708,32.8125,-620.118027811631,0.00335489528645138,0.0859915436375712,-620.690368914569,36.6982509916626,3.12347352360754
"3755",3793,140,"KS1698","YPD","MATalpha",11.4255150717902,36,-1.69260316290956,36.1071428571429,-536.90517293991,0.00194075221643068,0.0944312513047979,-538.59777610282,40.0366723263315,3.63236068707663
"3756",3794,90,"KS1","YPD","MATalpha",10.7568112730514,26,10.4098355457876,28.4333333333333,-349.428141017458,0.0074236079515455,0.0710629022488995,-339.018305471671,31.9624668690983,2.8308045368605
"3757",3795,160,"LF960","YPD","MATalpha",12.2228778173704,27,4.34995702179606,28.1,-628.052560067813,0.0077414758800148,0.0688909045260028,-623.702603046017,31.6962040451395,2.48649404339735
"3758",3796,158,"LF960","YPD","MATalpha",10.4872678244927,19,-0.767198367916535,20.7278481012658,-589.204835007953,0.0136913549138704,0.0753501369818936,-589.972033375869,23.3845141446298,2.07843875226731
"3759",3797,164,"LF960","YPD","MATalpha",12.3901653667476,30,-0.878289751100738,30.8109756097561,-645.479911296586,0.00543760301996677,0.0739529932011143,-646.358201047686,34.5416398979777,2.67310792835411
"3760",3798,199,"LF960","YPD","MATalpha",13.1695263600092,31,9.21007668412278,32.7386934673367,-799.336360087658,0.00561027251948695,0.0661721678681632,-790.126283403536,36.8909051546209,2.72584615837508
"3761",3799,119,"LF960","YPD","MATalpha",11.1010238437852,31,1.83736013712223,30.0672268907563,-455.445666173182,0.00419857984618775,0.0879939442567017,-453.60830603606,33.7028676853175,3.01378679053288
"3762",3800,159,"LF960","YPD","MATalpha",12.6430891481609,31,11.5562326320445,31.9182389937107,-636.775478389216,0.00646703602045614,0.0637930024932371,-625.219245757172,35.9219834611486,2.74036608075922
"3763",3801,119,"KS1289","YPD",NA,5.25811477364235,14,7.71895419860289,15.6050420168067,-372.532503136488,0.00780892361124521,0.174428428071408,-364.813548937885,17.4273705055328,3.25792227792654
"3764",3802,160,"LF959","YPD","MATa",12.4504663219986,32.5,-2.41193031613523,33.56875,-628.457488726881,0.00363893178464206,0.0800806093616741,-630.869419043016,37.5344158401967,2.98377031885142
"3765",3803,320,"KK39","YPD","MATalpha",9.39765861589019,21,33.3297542178186,22.1,-1191.56361796255,0.0122607686471222,0.0759146779056863,-1158.23386374473,24.9625246998055,2.5184263693558
"3766",3804,100,"KK39","YPD","MATalpha",16.4295127404585,28,9.14043236754139,33.52,-423.206530899473,0.00981048051121455,0.0415345680365624,-414.066098531931,38.0365833331634,2.20132678937346
"3767",3805,178,"LF960","YPD","MATalpha",11.973632132237,22,10.672308284247,23.7415730337079,-693.720022297298,0.0141945733228441,0.0571833695590142,-683.047714013051,26.8952361921886,2.12162007485307
"3768",3806,238,"LF960","YPD","MATalpha",11.2810654027099,31.5,8.54881519685637,30.7773109243697,-919.030849959144,0.00448083052668091,0.0827386378700542,-910.482034762287,34.5102652753671,3.02956816096994
"3769",3807,159,"LF960","YPD","MATalpha",11.8368012513661,31,5.30214096390762,31.377358490566,-621.807295556604,0.00482889833288573,0.0772021424246785,-616.505154592696,35.1989383654699,2.91189089275237
"3770",3808,159,"LF960","YPD","MATalpha",12.1315566858505,29,8.7685654282767,29.3836477987421,-626.911381085004,0.00700325116898417,0.0686960967017177,-618.142815656727,33.1228046525639,2.62493975391363
"3771",3809,319,"LF960","YPD","MATalpha",11.2047675089101,28,22.3671894506945,29.0188087774295,-1239.79081241029,0.00659272359807452,0.0735822135190132,-1217.4236229596,32.6201680324059,2.8082067414244
"3772",3810,159,"LF960","YPD","MATalpha",11.1545796746955,30,10.881990487817,30.9245283018868,-617.596774389269,0.00519106342786009,0.0768503322947459,-606.714783901452,34.6395525468789,3.03988648977651
"3773",3811,159,"LF960","YPD","MATalpha",10.9851098095949,32,3.53447069149547,31.6477987421384,-609.627800732488,0.00377259961730544,0.0867628787026127,-606.093330040992,35.3031060447346,3.20314259474567
"3774",3812,159,"LF960","YPD","MATalpha",9.57089037240005,24,10.7152165018017,25.6289308176101,-591.682955932055,0.00628766533772642,0.0916108278004569,-580.967739430253,28.7975129667756,2.93101374886105
"3775",3813,200,"LF960","YPD","MATalpha",11.3561784480838,33,-1.20462542579287,31.705,-767.970912673202,0.00350327264491719,0.08876214551412,-769.175538098995,35.4189476760297,3.11969120188094
"3776",3814,100,"LF959","YPD","MATa",10.2320303187806,22,5.20744490626964,23.65,-377.472975726091,0.0105211121788828,0.0752503069808943,-372.265530819821,26.6382064169012,2.47188954890758
"3777",3815,80,"LF959","YPD","MATa",12.4223155671812,29,1.46308817542825,28.8,-314.387438547753,0.00690050453344598,0.0710532711662474,-312.924350372325,32.4853135125287,2.5295216418788
"3778",3816,159,"LF960","YPD","MATalpha",11.0489966965043,24,5.10767139599034,24.2893081761006,-608.337312445441,0.0105182770785323,0.0711679406457042,-603.22964104945,27.4125644499419,2.3561095155267
"3779",3817,180,"LF960","YPD","MATalpha",9.70162400734476,24,15.5192790212492,25.4166666666667,-676.396652534183,0.00775690845566338,0.082678522009447,-660.877373512934,28.5570037078603,2.821609436946
"3780",3818,160,"KK151","YPD","MATalpha",6.79525361543726,20,19.4573630635033,20.725,-552.67131547625,0.00789732074369733,0.115176647971795,-533.213952412746,23.0957619113241,3.23886229559284
"3781",3819,180,"KK151","YPD","MATalpha",8.68085609659741,18,2.98961017704767,18.3166666666667,-643.497586387396,0.0152856894720835,0.0876716093422757,-640.507976210348,20.6437889518202,2.22701319493415
"3782",3820,160,"KK151","YPD","MATalpha",10.2228010044879,24,11.8282743945257,24.9,-606.22971979504,0.00893880984267293,0.0774464674232813,-594.401445400515,28.0653054791544,2.63003697519041
"3783",3821,120,"KK151","YPD","MATalpha",8.37080092483684,23,3.98846348171713,22.2833333333333,-428.184837942699,0.00695306681639207,0.107720215017967,-424.196374460982,24.9709451656137,2.91597292646094
"3784",3822,120,"LF960","YPD","MATalpha",11.9489782505657,33.5,1.18649892642742,33.1416666666667,-468.381763638698,0.00365037858375992,0.0817624107453276,-467.19526471227,37.0510795395088,3.08274419532394
