"","genotype_in","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"1",1,60,"BY4742","YPD","MATalpha",9.96683766835523,22,-4.70995308855555,22.1333333333333,-219.689587373543,0.00816723742390617,0.0969639469908693,-224.399540462098,24.7726522397298,2.31696719258101
"2",2,60,"BY4742","YPD","MATalpha",9.96683766835523,22,-4.70995308855555,22.1333333333333,-219.689587373543,0.00816723742390617,0.0969639469908693,-224.399540462098,24.7726522397298,2.31696719258101
"3",3,39,"BY4742","YPD pH 5","MATalpha",8.15942695984776,26,4.73163674202121,26.2820512820513,-141.762147715212,0.0053006707461809,0.0991168871471719,-137.030510973191,29.1698073006228,3.44069155061287
"4",4,60,"BY4742","YPD pH 5","MATalpha",9.20826207248036,23,4.40578422134962,23.5666666666667,-221.288242850361,0.00856945405584312,0.0878959241530167,-216.882458629011,26.4858826352232,2.7909019437434
"5",5,40,"BY4742","YPD pH 6","MATalpha",11.2904543298469,20,1.34208650919203,21.75,-152.640795097105,0.0156306645669653,0.0617241725413804,-151.298708587913,24.5649565945496,2.05094889469801
"6",6,60,"BY4742","YPD pH 6","MATalpha",9.74388117430539,19.5,5.61389943622746,20.35,-223.705187741261,0.0169303202291862,0.0663503364972355,-218.091288305033,23.0196988001689,2.23439513843143
"7",7,40,"BY4742","YPD pH 7","MATalpha",9.05595143594843,25,-2.74519943586247,23.7,-143.728910559358,0.00558026294004395,0.109506184477637,-146.474109995221,26.3391844371284,2.8053887848681
"8",8,60,"BY4742","YPD pH 7","MATalpha",8.14979809808489,25.5,0.495030736168076,24.2333333333333,-211.529358553768,0.00447248720540594,0.119022886708048,-211.034327817599,26.9171814931842,3.34170111381662
"9",9,40,"BY4742","YPD pH 8","MATalpha",8.42428571117989,21,1.69745400906706,22.575,-143.271767345217,0.00699720080290033,0.105446330918894,-141.57431333615,25.2616884371582,2.9213059468417
"10",10,60,"BY4742","YPD pH 8","MATalpha",8.17146751544251,21,-0.766498548549208,21.2,-209.99544556071,0.00634278324617274,0.120778937684811,-210.761944109259,23.7501058690791,2.8802648306588
"11",11,80,"BY4742","YPD","MATalpha",9.83789495853609,30.5,6.69316143146619,30.525,-302.082402102055,0.00377693366504443,0.0918202377796653,-295.389240670589,34.0282417853354,3.38174523173059
"12",12,38,"BY4742","YPD","MATalpha",9.75025987179663,23,-0.869297090326029,22.5,-139.218220706415,0.00830975841250538,0.0945194400945899,-140.087517796741,25.2835660594989,2.51157023974112
"13",13,40,"FY5","YPD","MATalpha",7.70942646441721,28,0.410080510832501,26.475,-138.55439133689,0.00223026155128778,0.137555322010107,-138.144310826057,29.2092312650439,3.90774825111076
"14",14,40,"W303","YPD","MATalpha",9.17228266195331,18,3.4811205067611,19.15,-146.645382702553,0.0181777336780442,0.0700230896823116,-143.164262195792,21.6341475951791,2.23330498176824
"15",15,38,"BY4742 ","YPD + vehicle","MATalpha",10.1046093168036,27,-2.40470905930812,25.7105263157895,-139.574706032206,0.00459534724661981,0.105392333990994,-141.979415091514,28.7460521073965,2.83155803778091
"16",16,39,"FY5","YPD + vehicle","MATalpha",10.0900801086607,29,1.89624617737374,28.9230769230769,-146.978730789766,0.00473954010850922,0.0893103379078177,-145.082484612393,32.2585052735087,3.16591749627684
"17",17,39,"W303","YPD + vehicle","MATalpha",10.3210278913557,22,4.91750844764695,21.0512820512821,-148.887461690568,0.0209280072848982,0.0498343575077435,-143.969953242921,23.7426220170141,2.1526384514256
"18",18,40,"BY4742","YPD + 0.01% EtOH  (rapa vehicle)","MATalpha",9.64285307285221,26,-3.02031408360926,24.3,-144.836626021254,0.00489916606679935,0.111023053921713,-147.856940104863,27.1560050265257,2.78626116377133
"19",19,40,"FY5","YPD + 0.01% EtOH  (rapa vehicle)","MATalpha",7.52598064144365,30.5,0.660415641964846,30.225,-137.134550175406,0.00103464227105161,0.147074798119041,-136.474134533441,33.0436155168214,4.72404096945273
"20",20,40,"W303","YPD + 0.01% EtOH  (rapa vehicle)","MATalpha",9.19779098340243,21.5,3.25247209218099,23.625,-147.314030651207,0.00816262698691918,0.0899614365188708,-144.061558559026,26.5830275808452,2.82418848160263
"21",21,40,"BY4742","SC","MATalpha",9.39363532480288,16.5,0.961419004793811,17.625,-145.275315910231,0.0211904329981493,0.069352661988543,-144.313896905437,19.8145352891385,1.95137017092742
"22",22,40,"FY5","SC","MATalpha",7.57251270833854,17,-0.574299330216576,17.125,-136.137551359928,0.0108730556595036,0.123680510230104,-136.711850690145,19.3054893249516,2.48330846438284
"23",23,39,"W303","SC","MATalpha",8.33192970635128,21,1.9437833502987,20,-139.690262283895,0.0120822556724053,0.0917107919641326,-137.746478933596,22.4239399621847,2.55331419869354
"24",24,39,"BY4743","YPD","diploid",12.7869493185237,42,-0.275486956563384,39.3846153846154,-153.973727282994,0.00205274354361389,0.0822791770906947,-154.249214239557,43.6893130241925,3.54392784490739
"25",25,40,"msh6_1","YPD",NA,11.7572672561839,28,-0.0918930987721751,27.85,-154.038040491954,0.00597520840448993,0.0814788311076994,-154.129933590726,31.3915353162718,2.63805387454263
"26",26,40,"pol3-01_1","YPD",NA,11.5944007264338,20.5,-0.308901395033075,21.675,-153.101767342717,0.0162057021043937,0.0597392366303309,-153.41066873775,24.2930483247517,1.91310668829097
"27",27,40,"WT_1","0.05% D",NA,9.8318882032408,20.5,4.44435101586677,23.475,-150.82705194147,0.0112108417572069,0.0733181392786125,-146.382700925603,26.4737198167494,2.56406217711706
"28",28,39,"WT_1","3% Gly",NA,9.99696310161545,23,3.50558916533799,25.5384615384615,-147.37231207254,0.0080119282302042,0.0801945986666698,-143.866722907202,28.7161598182604,2.76795925295271
"29",29,40,"WT_1","YPD",NA,11.7572672561839,28,-0.0918930987721751,27.85,-154.038040491954,0.00597520840448993,0.0814788311076994,-154.129933590726,31.3915353162713,2.63805387454266
"30",30,40,"msh6_1","0.05% D",NA,11.7046725274293,30,0.205317775186046,29.225,-154.075977726125,0.00489664155328068,0.0844245088829089,-153.870659950939,32.8996264858316,2.81279829899554
"31",31,40,"msh6_1","3% Gly",NA,12.9110368210641,28,0.201719693864334,28.65,-158.068848737529,0.00754715138255013,0.0675345162758057,-157.867129043665,32.3186423414199,2.42053578295863
"32",32,38,"pol3-01_1","0.05% D",NA,12.4611772651532,22.5,-0.641171642010192,22.5526315789474,-147.547615894891,0.0159712084982871,0.0556092973357784,-148.188787536901,25.2480498752249,1.84289053540922
"33",33,40,"pol3-01_1","3% Gly",NA,9.4203475900812,19.5,-2.0521633923434,19.775,-144.581844613466,0.0117759726996012,0.0923968598722149,-146.63400800581,22.1625212943702,2.17998703484858
"34",34,40,"msh6_2","YPD",NA,9.8839094829256,30.5,-0.994791679628264,29.475,-146.460496867163,0.00249177340787518,0.113087301060046,-147.455288546792,32.8047959023301,3.49561830222395
"35",35,40,"pol3-01_2","YPD",NA,11.8021890624861,20.5,-2.23164583403107,22.125,-152.485358350263,0.0129851764900215,0.0692344606256907,-154.717004184295,24.7601327183721,1.90017163477886
"36",36,40,"WT_2","0.05% D",NA,9.69853279942582,36,0.427084761796493,33.3,-146.933944816362,0.0015779911061599,0.113461082926789,-146.506860054566,36.7993848100863,4.03237283331268
"37",37,40,"WT_2","3% Gly",NA,9.22479240263947,28,0.242045434083565,27.325,-144.634021785033,0.00300994510776366,0.11674228643161,-144.39197635095,30.5009198562818,3.43811780066942
"38",38,40,"WT_2","YPD",NA,9.8839094829256,30.5,-0.994791679628264,29.475,-146.460496867163,0.00249177340787518,0.113087301060046,-147.455288546792,32.8047959023301,3.49561830222395
"39",39,40,"msh6_2","0.05% D",NA,11.4242207836167,30.5,1.17069011578403,31.5,-154.643128636358,0.00419220883668511,0.0828079143941071,-153.472438520574,35.227539487947,3.08093662801529
"40",40,40,"msh6_2","3% Gly",NA,10.3564361259445,26,1.97207715133243,27.775,-151.136176525753,0.00534605634473501,0.0883165369790101,-149.164099374421,31.1601175760494,2.98064187300955
"41",41,40,"pol3-01_2","0.05% D",NA,8.38557980809608,17.5,-0.693259761071658,16.7,-140.410328876355,0.0176020370381319,0.0915857725204534,-141.103588637427,18.7457048010039,2.06314595915627
"42",42,40,"pol3-01_2","3% Gly",NA,10.7605344924917,18.5,1.20105136251613,18.575,-150.059193927601,0.0251332611297001,0.0501794514475371,-148.858142565085,20.787923963332,1.77030753150593
"43",43,40,"msh6_3","YPD",NA,8.57452248801272,24,3.37889205283142,25.625,-145.327029413034,0.00506740498019537,0.103482951215502,-141.948137360203,28.5982011170657,3.26891476845447
"44",44,40,"pol3-01_3","YPD",NA,10.1964988963658,21,0.26499735898642,22.075,-149.270985256136,0.011439710140684,0.0787719070070593,-149.00598789715,24.8125357586016,2.2874955967142
"45",45,40,"WT_3","0.05% D",NA,12.3651443530512,28,-0.426838763585863,28.975,-155.982946735994,0.00586856949705919,0.0772586958207863,-156.40978549958,32.6305586252492,2.58449728422731
"46",46,39,"WT_3","3% Gly",NA,10.3139646958039,27,3.09018721525004,28.7948717948718,-148.928770541722,0.0059424562319487,0.0801165682842278,-145.838583326472,32.1692419995279,3.03816779116439
"47",47,40,"WT_3","YPD",NA,8.57452248801272,24,3.37889205283142,25.625,-145.327029413034,0.00506740498019537,0.103482951215502,-141.948137360203,28.5982011170657,3.26891476845447
"48",48,40,"msh6_3","0.05% D",NA,9.54543789542337,23,3.55502447255148,23.75,-149.522419640877,0.010026044633443,0.0785685425439971,-145.967395168326,26.6886096136315,2.68185686551097
"49",49,40,"msh6_3","3% Gly",NA,9.27137170721427,22,2.10439770454491,22.875,-147.305810308222,0.00921022965949079,0.087641323121575,-145.201412603677,25.6757121463796,2.65470447908808
"50",50,40,"pol3-01_3","0.05% D",NA,10.9759644164782,20,1.57615643926331,21.2,-152.088627340425,0.0172166472745908,0.0594180756216095,-150.512470901161,23.8814954238087,2.02993370564513
"51",51,40,"pol3-01_3","3% Gly",NA,11.0569330843037,17,1.46433265198527,20.475,-151.684994697493,0.0187853496838481,0.0577559523975676,-150.220662045507,23.0733668177557,1.94826936510714
"52",52,80,"BY4742","YPD","MATalpha",8.61444731434615,21.5,10.2178143079639,22.3625,-294.516375463443,0.0112112868918482,0.0809133550009108,-284.29856115548,25.0978335644802,2.73472430620001
"53",53,80,"BY4741","YPD","MATa",11.7062138643532,24,9.05361396926367,26.95,-315.19580558766,0.0104178088779073,0.0602631217697189,-306.142191618396,30.4705938727069,2.46805018135919
"54",54,160,"BY4741","SC 2% D","MATa",8.56531509294955,26,-9.26831837134932,25.3625,-563.529564588789,0.00307876491395899,0.12858223858106,-572.797882960139,28.1425494804446,3.35820283252724
"55",55,80,"BY4742","YPD","MATalpha",9.57177251682906,26,2.35332800033115,26.5375,-296.593430838367,0.00522490576198058,0.0959736455226668,-294.240102838036,29.6399865332003,3.01820335551794
"56",57,60,"BY4742","YPD","MATalpha",7.33969934266234,27,2.24031281299162,26.6,-206.167358025877,0.00209837350172675,0.140243160775584,-203.927045212886,29.3000140890758,4.12969425005816
"57",58,77,"BY4741","YPD","MATa",9.09517159127731,24,-7.00251752660193,22.038961038961,-274.719624863442,0.00617903680551369,0.114288831875895,-281.722142390044,24.6131079454621,2.58369705996574
"58",59,80,"BY4742","YPD","MATalpha",9.56390067924859,24,2.8310039674397,23.8875,-294.660770995267,0.00704365429158565,0.0951249502530071,-291.829767027827,26.9078728244324,2.7620392746539
"59",60,60,"BY4741","YPD","MATa",10.3667765721643,27,2.79606968410096,27.5666666666667,-226.841814964726,0.00570377210721608,0.0865512920348357,-224.045745280625,30.9359876957483,2.95591862059956
"60",61,160,"BY4741","SC 2% D","MATa",8.3726118344766,27,1.52906248692614,25.5,-567.263586139749,0.00361673544897922,0.120658272763427,-565.734523652823,28.3537593828693,3.46265565568412
"61",62,80,"4742 SC","SC","MATalpha",8.73258665117348,12,0.0540506750648433,12.9125,-276.546515041953,0.0424996719132142,0.0543211544959984,-276.492464366888,14.2790189908346,1.48577037029546
"62",63,80,"W303 SC","SC","MATalpha",7.58996672830052,22,5.32509092659484,21.25,-280.307320081265,0.00752782895561475,0.112249754206099,-274.98222915467,23.7524886339079,3.04920914317025
"63",64,78,"PSY SC","SC","MATalpha",6.48346342900907,6,0.986119991551703,7.87179487179487,-237.007493642815,0.097499534898463,0.0367553830175395,-236.021373651263,8.47878581562852,1.25096104518374
"64",65,57,"BY4742","YPD","MATalpha",10.461559902279,27,-4.22084966658286,26.859649122807,-214.423546586939,0.00574610906880809,0.0892571501186672,-218.644396253521,29.7632506570331,2.62332336416972
"65",66,80,"BY4742","YPD","MATalpha",7.64553936304684,22.5,1.19764797434794,21.6625,-276.389324640495,0.00523242390950288,0.129163950846537,-275.191676666147,24.2051379606908,3.18590864761941
"66",67,80,"BY4742","YPD","MATalpha",8.35206333939802,27,3.46441555941959,27.8,-285.936152782279,0.00286789297690508,0.117984733417007,-282.471737222859,30.7874982083575,3.74986648107665
"67",68,80,"BY4742","YPD DMSO .4%","MATalpha",9.29784921366227,27,4.28660091645162,26.325,-295.209884086724,0.00542229913447025,0.0959990916822729,-290.923283170272,29.4211530609573,3.12646834284771
"68",69,80,"BY4742","YPD","MATalpha",7.23559240617895,22,6.16451469941796,22.025,-277.240502032031,0.00574132843743722,0.122340934789263,-271.075987332613,24.5408348195104,3.32770202841398
"69",70,80,"BY4742","YPD DMSO .4%","MATalpha",7.84412018769392,22,6.69188146296779,21.9625,-283.349553282257,0.00719840725960945,0.108914128122392,-276.657671819289,24.6072663981499,3.05441853757598
"70",71,60,"BY4742","YPD","MATalpha",9.99638352684706,18,0.496838045155755,19.7333333333333,-221.963457431771,0.0161952292044144,0.0721442728894789,-221.466619386615,22.1898253275571,2.05087323426492
"71",72,28,"4742 CSM","CSM","MATalpha",9.02868737786373,11.5,-0.457683495823133,12.5357142857143,-96.5425148483452,0.0466048054059299,0.0493194767756657,-97.0001983441683,13.6590633716504,1.36525907962258
"72",73,40,"W303 CSM","CSM","MATalpha",6.79649230797091,20,1.65952491434879,20.25,-134.961890967433,0.00585993796289836,0.136571308265235,-133.302366053085,22.5261040783959,3.27285007501236
"73",74,38,"PSY CSM","CSM","MATalpha",9.53875825050584,11.5,-0.380457231387027,12.3421052631579,-131.588684755648,0.053673667673187,0.0374319057463703,-131.969141987035,13.2929879093237,1.27150492962354
"74",75,71,"BY4742","YPD","MATalpha",7.19280324428984,21,7.63849379790361,21.6760563380282,-248.02808674409,0.00726907323374285,0.112140941613261,-240.389592946186,24.1527142590244,3.23499470642183
"75",76,80,"BY4742","YPD","MATalpha",8.61988244802222,21.5,8.18458062689865,24.6625,-292.700480559328,0.00653349409563427,0.0961805833398263,-284.515899932429,27.6094288821959,3.06950301797453
"76",77,38,"pRS316 deltaura3","YPD",NA,8.04843976468755,25.5,0.919299156934812,25.0789473684211,-133.315940406554,0.00333236509681317,0.127427861637318,-132.39664124962,27.8740543539147,3.5534294456374
"77",78,79,"pRS316 4742","YPD",NA,9.46439714785267,25,-1.33076901397828,26.3924050632911,-288.357697919888,0.00396042518191393,0.109171803044445,-289.688466933866,29.463466322675,3.09983861758371
"78",79,60,"BY4742","YPD","MATalpha",9.38925940052758,20,7.23249539428201,21.3333333333333,-223.568775185974,0.0145974618382437,0.070348184275023,-216.336279791692,24.1119232717691,2.43619523867824
"79",80,78,"pMOBY control","YPD","MATalpha",9.63133276149105,28,-2.14191408874706,26.7948717948718,-286.354974882086,0.00429534236953351,0.103714113135453,-288.496888970834,29.8313432075328,3.07039793379483
"80",81,40,"BY4743","YPD","diploid",16.0629969742533,45,-1.80204127880435,41.675,-165.528974979123,0.00279352423523417,0.065800276093958,-167.331016257928,46.6615481337093,2.96564541295555
"81",82,80,"BY4742","YPD","MATalpha",9.83386521482225,30,0.353315787679321,29.4375,-296.451341949728,0.00324281147448981,0.102771815207605,-296.098026162048,32.7404312517867,3.36935775907129
"82",83,60,"BY4741","YPD","MATa",8.13612992579958,24,1.27001023565566,24.8,-212.432634903648,0.00418867304188675,0.118339814169835,-211.162624667992,27.5311763707495,3.37103147026384
"83",84,80,"BY4742","YPD","MATalpha",9.18691281599034,27,5.41711034428357,28.325,-295.884428358287,0.00414978123419762,0.0983673479615087,-290.467318014003,31.5184561712321,3.37221327753168
"84",86,100,"BY4741","YPDAT","MATa",10.0249134105432,26,-0.900019247879641,25.81,-370.613193694173,0.0053166622511105,0.0980541503677073,-371.513212942053,28.954310501765,2.85612945708919
"85",87,40,"BY4741","YPD","MATa",9.2668419094295,32,0.377133778506902,31.15,-146.07697060204,0.002225725878368,0.110938939939733,-145.699836823534,34.3618476079793,3.81367275147275
"86",88,39,"BY4742","YPD","MATalpha",9.88660403127662,35,-0.676400945493214,32.3076923076923,-142.698053740197,0.00165736098856333,0.115873466236324,-143.37445468569,35.7704844722793,3.92553871690723
"87",89,80,"MSY1035","YPD","MATalpha",8.66696587441963,23,0.0163908803191362,22.8125,-287.318427947592,0.00671545712531963,0.105725539794419,-287.302037067273,25.4833828619054,2.83408230953605
"88",90,120,"BY4742","YPD","MATalpha",10.3829206881689,29,2.02546059087535,28.4,-452.366436696494,0.00466091716277778,0.0915078236490239,-450.340976105619,31.7719079274872,3.02489288694738
"89",91,120,"BY4741","YPD","MATa",13.7471540217413,30,8.3908045411124,32.125,-489.054057403254,0.00754772719252405,0.0563753115304685,-480.663252862142,36.2592059865388,2.52199101817788
"90",92,40,"BY4743","YPD","diploid",12.2003572877485,36,-0.237388047414669,35.15,-155.467028222408,0.00247367461476574,0.0886308644879021,-155.704416269822,39.2616799937284,3.33890658779465
"91",93,40,"BY4743","YPD","diploid",10.3124271559199,35.5,-0.602496939137779,34.25,-148.254622471429,0.00146559903801438,0.111507319231179,-148.857119410566,37.8930380206719,3.96034430632183
"92",95,35,"4742 CSM","CSM","MATalpha",12.0999340230162,18,-1.41004674407844,16.3428571428571,-130.24345666092,0.0363135023150471,0.036365884780281,-131.653503404998,17.4543549584386,1.24724853293373
"93",96,40,"PSY CSM","CSM","MATalpha",9.04674470423421,12,0.333882201553877,13.95,-140.2167881427,0.0351916233338444,0.0603296530905215,-139.882905941146,15.5722700911259,1.59289062221113
"94",97,40,"W303CSM","CSM","MATa",7.41083752490316,23,0.28519719796941,21.95,-136.816061248452,0.00469144052202115,0.134014309110159,-136.530864050483,24.3964401249478,3.35809234840017
"95",98,80,"BY4742","YPD","MATalpha",9.95988790542382,26,1.00867678565697,26.625,-299.447755152514,0.00588837940235203,0.0898298933910367,-298.439078366857,29.7271569085322,2.87266511524044
"96",100,77,"pMOBY YGR045C","YPD","MATalpha",12.5967479447404,35,-3.47290818556536,34.3506493506493,-300.584674718197,0.00273614723347705,0.08726202975311,-304.057582903762,38.3936250769571,3.08039524018073
"97",101,40,"pRS316 deltaura3","YPD",NA,12.0735990852684,28.5,0.966569376245076,29.65,-156.910151811451,0.00644890643679109,0.071537636632875,-155.943582435206,33.2712487743902,2.66026474047135
"98",102,80,"pMOBY YGR045C","SC-URA","MATalpha",11.6554979692586,20,-1.16261712257074,21.15,-305.612863695477,0.0169640200160008,0.059404158691642,-306.775480818047,23.694938347002,1.84202652974954
"99",103,37,"BY4742","YPD","MATalpha",14.6269425187716,17,-1.06014953183674,17.3243243243243,-141.467974531397,0.0411581884586829,0.0211754715168625,-142.528124063234,17.326605006761,1.00034142549056
"100",104,76,"wt","YPD","MATalpha",6.80086423816598,17,6.67696634586213,17.0394736842105,-257.473479215181,0.0122923018195742,0.118018487582236,-250.796512869318,19.2061058909645,2.7241397033522
"101",105,80,"BY4742","YPD","MATalpha",10.3647406191021,26.5,2.87400697712138,26.7,-301.138108996604,0.00569935286149233,0.0900071533171552,-298.264102019482,30.0482747747887,2.86474684965279
"102",106,40,"BY4743","YPD","diploid",9.85263208357843,29,1.48446485313008,28.05,-148.830567132251,0.00435775631876015,0.0967926471751813,-147.346102279121,31.3432105414929,3.21349670392948
"103",107,39,"BY4742","YPD","MATalpha",11.5368329934852,9,-0.551139769598734,13.1794871794872,-138.923234365168,0.0597293580355154,0.0194087484920939,-139.474374134767,13.4713587768484,1.05842846691195
"104",108,80,"BY4742","YPD","MATalpha",7.62937983776275,22,5.8512067265732,22.2875,-281.178402732188,0.00621839687226994,0.115109985577567,-275.327196005615,24.8830272665761,3.17361945497731
"105",110,80,"BY4742","YPD","MATalpha",9.46077846236366,25.5,2.88156415677719,25.75,-295.240041853864,0.00564260422146043,0.0965789892373925,-292.358477697087,28.8277147968427,3.00173633616009
"106",111,80,"BY4741","YPD","MATa",8.37714642813894,26,-4.95319507318317,24.475,-280.312414975191,0.00328736776011336,0.131293718005128,-285.265610048374,27.1629533549552,3.2563695833053
"107",112,115,"BY4742","YPD","MATalpha",7.66341920410126,25,9.91321219614747,26.2086956521739,-406.903424193495,0.0034464863553043,0.119506490016371,-396.990211997347,29.0489887688029,3.71938454607104
"108",113,40,"WT_2","YPD",NA,8.16147139825996,20.5,3.70792573057568,22.425,-143.141936148717,0.00729617441942434,0.104505399597225,-139.434010418141,25.1716798543005,3.00281838158998
"109",114,80,"BY4742","YPD","MATalpha",8.95385497913283,25.5,1.50799482468295,25.175,-290.920972663245,0.0053173560088218,0.103289696645018,-289.412977838562,28.0700405391004,3.06856233412724
"110",115,80,"BY4741","YPD","MATa",9.96029300316315,25,2.14372209786393,24.5875,-299.458781734372,0.00816061515952667,0.0839935423094917,-297.315059636508,27.5698292512706,2.6464453314994
"111",116,80,"BY4742","YPD","MATalpha",9.97385823547066,24,8.00765583441574,25.875,-303.639307248641,0.00822904294581353,0.077480281411103,-295.631651414225,29.0754459497821,2.77787744639836
"112",117,80,"BY4742","YPD","MATalpha",9.90048585944976,23.5,0.284557683132959,24.175,-295.860694964684,0.0068503167143108,0.0945237906914221,-295.576137281551,27.1962998989901,2.68563692447322
"113",118,80,"BY4741","YPD","MATa",9.12777615130621,23,4.59482434603888,23.8875,-293.061853337723,0.00698111813561088,0.0963332710085501,-288.467028991684,26.8455110462843,2.8719929974347
"114",119,79,"BY4741","YPD","MATa",9.40156816354526,24,-1.40530740507768,24.9113924050633,-289.717563057736,0.00581285891268979,0.0995677718992848,-291.122870462813,27.7654063323214,2.82851985888945
"115",120,80,"BY4742","YPD","MATalpha",9.5547638724475,25,3.8517448322749,26.1875,-296.979065427486,0.00568833446933126,0.0938260841811289,-293.127320595211,29.3153967511885,3.00231468632613
"116",121,40,"BY4742","YPD","MATa",7.98873405458411,20.5,5.04423408146459,20.225,-143.569136424465,0.0125014150121687,0.0886370847383561,-138.524902343,22.7417514225808,2.70871259878124
"117",122,40,"CEN.Pka","YPD","MATa",6.16436200870447,17.5,-0.303559726685506,16.525,-129.044059999093,0.00780557029404292,0.158960129396762,-129.347619725779,18.463912636516,2.97746376253367
"118",123,80,"BY4742","YPD","MATalpha",9.64640682103767,30.5,0.276792892252331,30.1,-295.846712796258,0.00289484932747502,0.104561408458564,-295.569919904006,33.3774958234382,3.4583266770413
"119",124,136,"pRS416 BY4742","YPD","MATalpha",9.33965413886142,21,5.44468643519986,21.5220588235294,-500.96203139345,0.0116668410198648,0.0821231963333481,-495.51734495825,24.1968633151385,2.43703421727836
"120",125,112,"pRS316 S288C ��ura3","YPD",NA,8.59102222122972,20.5,3.35781302968843,20.6785714285714,-404.281622559303,0.0112080990233666,0.0909860402588885,-400.923809529614,23.1578515995536,2.52133780645635
"121",126,106,"pRS316 BY4742","YPD",NA,9.95697843658922,21.5,-8.71374122915302,20.0377358490566,-390.007485096743,0.0143452559089943,0.0781034860304885,-398.721226325896,22.2634585079619,1.95227287722902
"122",127,78,"BY4741","YPD","MATa",9.61085141225609,28,-0.121895348650526,26.7564102564103,-287.115036813454,0.00453980392212281,0.101430251294979,-287.236932162104,29.8603430560932,3.09417749560784
"123",128,80,"BY4742","YPD","MATalpha",10.7067868574156,28,2.08499637273627,28.8125,-304.398835795642,0.00514782116330551,0.0855261161500276,-302.313839422906,32.2597920091629,2.98680277140486
"124",129,78,"MSY1035","YPD","MATalpha",14.0991919196532,23,-3.91758411935075,26.3076923076923,-311.0682900718,0.0108098660902767,0.0585091979448336,-314.985874191151,29.5216142353364,1.9052459007079
"125",130,80,"MSY1035","YPD","MATalpha",9.27183532962848,22.5,7.35056730577031,23.2125,-297.024433416581,0.0099931745902284,0.0815491520031789,-289.67386611081,26.1110056933798,2.69108808084354
"126",131,39,"WT","YPD","MATa",11.8917746780391,26,-1.93011491431417,27.4871794871795,-150.052278930417,0.00605150865306413,0.0822184543271896,-151.982393844731,30.8297635704173,2.48491857566515
"127",132,80,"BY4742","YPD","MATalpha",9.13748712098003,26,1.08443778430575,26,-291.714474150898,0.00469976780433892,0.10437735529853,-290.630036366592,28.9840692348331,3.14324755766889
"128",133,80,"BY4741","YPD","MATa",11.3728245937633,29,1.6210153923912,29.975,-309.826006500892,0.00536838085037274,0.0785455828391873,-308.2049911085,33.5296882042886,2.8574726866635
"129",134,80,"BY4742","YPD","MATalpha",9.04817451342073,24.5,6.82713050751289,25.5625,-294.824464557147,0.00588490540355746,0.0958428991731853,-287.997334049634,28.6453272025105,3.07525013062359
"130",135,80,"BY4741","YPD","MATa",11.7427866358324,28.5,6.57736745462495,30.925,-314.778555438792,0.00577541833360869,0.071767587243778,-308.201187984167,34.7796974614407,2.872499390469
"131",136,80,"BY4742","YPD","MATalpha",9.02450075760707,24,1.91635550910706,25.4625,-292.417448387068,0.00546714587736494,0.100295746458215,-290.501092877961,28.3618354108542,3.04731302269005
"132",137,80,"BY4742","YPD","MATalpha",9.67366253470954,17.5,2.71780270888922,18.7,-292.728866976713,0.0173940031416458,0.0744662482785768,-290.011064267823,21.1637231526312,2.06527835536918
"133",138,79,"BY4743","YPD","diploid",7.6097402521778,26,0.773121592949849,26.3924050632911,-272.160100970439,0.00210932503553104,0.140810308269045,-271.386979377489,29.1218788654826,4.00007451682935
"134",139,80,"YPS606","YPD","diploid",7.27223782875496,26,1.01288468226886,25.725,-272.194964622939,0.0020403084810803,0.14741369107173,-271.18207994067,28.3544083450557,4.07919082615112
"135",140,120,"BY4742","YPD","MATalpha",7.58034000700818,20.5,-3.33585367666132,19.275,-411.53190938756,0.00776258193897378,0.126018557547962,-414.867763064221,21.5600297991249,2.76393329642561
"136",141,80,"BY4742","YPD","MATalpha",9.73691917069814,24,0.451581667067671,23.55,-295.744465985917,0.00813616438166307,0.0897912856796882,-295.292884318849,26.4378454758177,2.61718134414986
"137",142,60,"BY4741","YPD","MATa",9.46016029295284,21,4.00457413181667,21.2833333333333,-221.936292179214,0.0130035274258809,0.0772245738017314,-217.931718047397,24.005369511037,2.41448768562635
"138",143,80,"BY4743","YPD","diploid",13.2950392861493,40,-4.95189834547955,37.6625,-314.411695532597,0.00189855808031121,0.0885897850601872,-319.363593878077,42.0277446592393,3.31184235150933
"139",144,80,"BY4742","YPD","MATalpha",9.74481361571699,26,-6.204711274538,25.475,-291.914101564504,0.00453239680775685,0.107853900034895,-298.118812839042,28.3790790557872,2.84161130444288
"140",145,79,"KS2","YPD","MATa",7.71838811491768,23,2.4492538840579,23.873417721519,-275.299067091704,0.00414479664548424,0.125708989642654,-272.849813207646,26.5202506343788,3.48402850943295
"141",146,80,"YKO1257A","YPD","MATa",7.55230704964727,23.5,1.38364521044286,23.725,-275.519655308145,0.00348128505414622,0.135568310679955,-274.136010097702,26.3492268377914,3.58812024781079
"142",147,80,"BY4742","YPD","MATalpha",9.38187722437064,27.5,1.94222680305228,28.325,-294.155071214141,0.00350672187140316,0.105078193437582,-292.212844411089,31.5274502434693,3.36019021976497
"143",148,60,"BY4741","YPD","MATa",11.2353357031102,32,1.11108605977012,31.0666666666667,-230.649618189774,0.00395523937779908,0.0865414323898494,-229.538532130004,34.7545142729682,3.07349808500705
